cand_id,thread_id,customer_message,context_before,brand_reply,full_conversation,num_turns,resolved_heuristic,bucket
1,2580775,Hey @115888 please make @89341 Chixtape 4 available pretty please. Thank you 👍🏽,,@731481 Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt,[customer] Hey @115888 please make @89341 Chixtape 4 available pretty please. Thank you 👍🏽 || [brand] @731481 Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt,2,True,praise_or_gratitude
2,1462722,Tfw it's 2017 and @115888 @SpotifyCares still has arbitrary limits on the # of songs on a device or playlist. #bullshit #spotify #music,,@378676 We hear you 🎧 Rest assured your feedback will be passed on to the right folks /DF,[customer] Tfw it's 2017 and @115888 @SpotifyCares still has arbitrary limits on the # of songs on a device or playlist. #bullshit #spotify #music || [brand] @378676 We hear you 🎧 Rest assured your feedback will be passed on to the right folks /DF,2,True,feature_request_or_limitation
3,521813,@SpotifyCares Just got this email and I didn't make the change- I can't even log into my account anymore. What can I do to fix it? https://t.co/ltjO4jOm5E,,"@240485 Hey Gurasees! We'd suggest deleting your tweet for security purposes, as it contains your personal info. Can you send it over DM instead? We'll be waiting /AN https://t.co/ldFdZR1cbT","[customer] @SpotifyCares Just got this email and I didn't make the change- I can't even log into my account anymore. What can I do to fix it? https://t.co/ltjO4jOm5E || [brand] @240485 Hey Gurasees! We'd suggest deleting your tweet for security purposes, as it contains your personal info. Can you send it over DM instead? We'll be waiting /AN https://t.co/ldFdZR1cbT",2,True,login_account_access
4,2495866,@SpotifyCares 2/2 please let me know what I can do as they will be able to access my payment details.,,@712305 Hi Liz! Sorry to hear that. We've just sent you a bit more info over DM. We'll carry on helping out there /JS,[customer] @SpotifyCares 2/2 please let me know what I can do as they will be able to access my payment details. || [brand] @712305 Hi Liz! Sorry to hear that. We've just sent you a bit more info over DM. We'll carry on helping out there /JS,2,True,account_billing
5,1150441,"@SpotifyCares hey, why can't I hear the Noel's first solo album? I can see the cover but then it's skips. Can't see it on artist page either https://t.co/g55VgGoFjF",,"@390716 Hey! Does this happen on all tracks or just the ones for that artist? Can you try logging out, restarting the app, then logging back in? /SJ","[customer] @SpotifyCares hey, why can't I hear the Noel's first solo album? I can see the cover but then it's skips. Can't see it on artist page either https://t.co/g55VgGoFjF || [brand] @390716 Hey! Does this happen on all tracks or just the ones for that artist? Can you try logging out, restarting the app, then logging back in? /SJ || [customer] @SpotifyCares I'm in Portugal. Does that album available here? || [brand] @390716 2: Hopefully we'll have it available again soon. More info at https://t.co/MEjmIRL2eB /SJ",4,True,feature_request_or_limitation
6,1291285,Wondering why @115888 in not available in Kuwait! https://t.co/CvZUWqgn3z,,@421974 Hey there! We're launching in new countries as often as possible. Be sure to add your email at https://t.co/X8DVSX9QgM 🙂 /JI,"[customer] Wondering why @115888 in not available in Kuwait! https://t.co/CvZUWqgn3z || [brand] @421974 Hey there! We're launching in new countries as often as possible. Be sure to add your email at https://t.co/X8DVSX9QgM 🙂 /JI || [customer] @SpotifyCares I hope so ❤ || [brand] @421974 Yup! If you have other questions, you know where to reach us /RA",4,True,content_availability
7,1098207,@SpotifyCares i cant login to my premium for family account ... my profile is showing as free for some reason,,@379149 Hey! Can you DM us your account's username and email address? We'll take a look behind the scenes /JL https://t.co/ldFdZRiNAt,"[customer] @SpotifyCares i cant login to my premium for family account ... my profile is showing as free for some reason || [brand] @379149 Hey! Can you DM us your account's username and email address? We'll take a look behind the scenes /JL https://t.co/ldFdZRiNAt || [customer] @SpotifyCares thanks for the followup, problem got solved. || [brand] @379149 Awesome, that's what we like to hear! If you need us again, just... https://t.co/AUc7DGJpgF /RV",4,True,login_account_access
8,1697984,@SpotifyCares trying to update my payment info &amp; when I attempt to update sends me to /#student-pci-credit-card can you help! Graduated in '10!,,@515013 Hey Sarah! Help's here. Can you DM us your account's email address? We'll take a look backstage /RA https://t.co/ldFdZRiNAt,[customer] @SpotifyCares trying to update my payment info &amp; when I attempt to update sends me to /#student-pci-credit-card can you help! Graduated in '10! || [brand] @515013 Hey Sarah! Help's here. Can you DM us your account's email address? We'll take a look backstage /RA https://t.co/ldFdZRiNAt,2,True,account_billing
9,2376252,"@SpotifyCares I updated my payment info, you guys charged me but I’m still getting notifications that I’m gonna lose my premium ☹️",,@685399 Hey Jason! Can you DM us your account's email address or username? We'll check backstage /AR https://t.co/ldFdZRiNAt,"[customer] @SpotifyCares I updated my payment info, you guys charged me but I’m still getting notifications that I’m gonna lose my premium ☹️ || [brand] @685399 Hey Jason! Can you DM us your account's email address or username? We'll check backstage /AR https://t.co/ldFdZRiNAt",2,True,account_billing
10,2125247,@SpotifyCares PLEASE help me fix this! I'm locked out of my account someone changed the email address and password.,,@625881 Hi there! That doesn't sound good. Can you DM us your account's username or email address? We'll take a look under the hood /DN https://t.co/ldFdZRiNAt,[customer] @SpotifyCares PLEASE help me fix this! I'm locked out of my account someone changed the email address and password. || [brand] @625881 Hi there! That doesn't sound good. Can you DM us your account's username or email address? We'll take a look under the hood /DN https://t.co/ldFdZRiNAt,2,True,login_account_access
11,494239,"@115888. Hi, can I cancel my monthly premium subscription and take out the new annual subscription?",,"@232849 Hey there, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG https://t.co/ldFdZRiNAt","[customer] @115888. Hi, can I cancel my monthly premium subscription and take out the new annual subscription? || [brand] @232849 Hey there, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG https://t.co/ldFdZRiNAt",2,True,account_billing
